曲名,歌詞
夏の名前,あの時と同じような　風が吹いた君の笑顔が　いつまでも来ないきっと僕たちは　これからはいつも一緒それはずっと　ここからさき変わらないはずだったいちばんすきな服だけを　昨日の夜カバンにつめたそろいで買った　スニーカーはいてきた夏の名前　かぞえた　プールに立つ　波を見つめMy Friend. Dear Friend. ふたり肩よせて　決めたうなずいた　君の横顔見つめ　そっと指をかさねていくMy Friend. Dear Friend. すこしはにかむように　キスをしたバスの行くアナウンス　流れてきたもう一枚の切符　右手に残る僕の名を呼ぶ声が　聞こえてきた君の電話がつながって　小さな声がした目の前がまっくらになる　でもたぶんもう戻れないバスのステップ　足のせ　未来は行く夏の名前　おしえて　二人歩いた橋のたもとMy Friend. Dear Friend. 近づいてく想いとまる窓を開け　君の名前さけんだ　胸の奥が音をたてたMy Friend. Dear Friend. 少し涙でにじむ　町を見た現在降り立つと　草の薫り季節もされど　僕も青い記憶をまとい　糸を辿り景色運びし　君の香り光を背負い　影が向いた心の内は　何故熱いか肩に気付く　汗が付いたあの頃の様　また一つ　風が吹いた君と出会ったこと離れても忘れないいくつか過ぎてた　夏の名前忘れないだろう夏の名前　おしえて　二人歩いた橋のたもとMy Friend. Dear Friend. 近づいてく想いとまる窓を開け　君の名前さけんだ　胸の奥が音をたてたMy Friend. Dear Friend. 少し涙でにじむ　町を見た
夏疾風,眩しすぎる夏の陽差し　走り出す想いを胸に一人問いかけてみれば　聞こえる本当の声きっと辿り着ける　答えはここにある約束の場所へ　その日まで涙見せず今　吹き抜ける夏疾風　新たな息吹を告げる風の音まばゆい光集めて　願いを乗せてどこまでも続く蒼空　見上げる夢に手を伸ばしていつの日にか　届くように夏疾風…遠く見える蜃気楼　投げ出しそうな心どこからか聞こえてくる　励ましてくれる声いつか返したいんだ　数え切れない「ありがとう」約束果たせたら　君と笑い合いたいさぁ　舞い上がれ夏疾風　抑えきれずに高鳴る鼓動限りある時の中　輝け命暮れてゆく茜空　明日へとまた　つなぐ希望どんな未来が　待っていても一人ひとりの物語泣いたり笑ったり喜び(苦しみ)　分け合い(助け合い)こみ上げる想いのままに　さぁいこう今　吹き抜ける夏疾風　新たな息吹を告げる風の音まばゆい光集めて　願いを乗せてどこまでも続く蒼空　見上げる夢に手を伸ばしていつの日にか　届くように夏疾風…吹き抜ける風に(夏疾風)願いを乗せて(夏疾風)約束の場所へ(夏疾風)いつの日にか
NA! NA! NA!!,NA! NA! NA! NA! NA! NA! NA! 走れ YEAH! YEAH! YEAH!二度と戻らない 春のOh!  My Way!いまが全てだ そう言い聞かせたら思わず落ちた 涙はどうして??君と ここでサヨナラ 見たことない道が待ってる 目指せGo For It!NA! NA! NA! NA! NA! NA! NA! 空にとけた夢が騒ぐよ 春のOh!  My Way!待ちわびてた 始まりは今はっはーい。待て待って(Oh Oh)どうした? そんなに汗かいて(Oh Oh)まぁまぁまぁ焦らないでまずは話しとかしたいね(Let me hear you say!)Yeah Yeah (Yeah Yeah)ちょっちょっと違うかな(Na Na)Say Yeah Yeah(Na Na Na)That's Right Yo 春風Flash! My Flow午前0時に 君のメールを読んで窓を抜け出し コンビニにLet's Go!明日 君とサヨナラ その両手に自由があれば 叶うOh! My Dream!NA! NA! NA! NA! NA! NA! NA! 星にとけた夢が騒ぐよ 春のOh!  My Way!いつか今が 思い出になる信じてきた夢の続きを まだ諦められないから壊れそうな誓い抱いて ギリギリ歩き出した YEAH!君と ここでサヨナラ 見たことない道が待ってる 目指せGo For It!NA! NA! NA! NA! NA! NA! NA! 空にとけた夢が騒ぐよ 春のOh!  My Way!待ちわびてた 始まりは今明日 君とサヨナラ その両手に自由があれば 叶うOh! Your Dream!NA! NA! NA! NA! NA! NA! NA! 走れ YEAH! YEAH! YEAH!二度と戻らない 春のOh!  My Way!
涙の流れ星,空を見てごらん　星が見えるだろうただそこで美しく　輝いているだけさ星に聞いてごらん　君に聞こえるかい？ただそこでささやかに　瞬いているだけさ流れ星ながれて君の　涙をぬぐってお願いただここで穏やかに　微笑んでいてほしい空を見てごらん　夜が明けるだろう今ここで新しい　日々が始まってゆく日の光浴びてる君の　笑顔を守ってあげたい今ここで美しく　輝いている君といつまでも手をとりあって　歩き続けていこう
何度だって,あくせくしながら汗流し　今日も駆け回って西へ東悪戦苦闘の日暮し　もうどうしようもないと目を閉じた大人になることと引き換えに　諦めることだって覚えてきた本当のところ希望は何？　もうどうにかしたいと全部リセットにしてそれでも　時間(とき)は流れる　じっとしてられない変わろうとするとき　風が吹き始めた　世界を開け泣きじゃくって　それでも無我夢中で何が大切かって　Yeah　もがいてるけど思い出して　あのころ口ずさんだ　夢があるんだくすぶった心に　火をつけるさ急かされたまま行き止まり　いっそ逃げ出したら楽になれる？諦めたら試合は終わり　最後の最後には全部巻き返してオレンジ色　染まるとき　ぐっと込み上げてく沈みゆく空に　花火鳴り響いた　思いを焦がせぶち当たって　何度も這い上がってどこまで行けるかって　Yeah　分からないけど目を凝らして　あのとき見えなかった　夢を見るんだ澄み切った心に　火はともるさぶち壊して　何度だって力が沈まぬかぎり　拳を突き上げて進め泣きじゃくって　それでも無我夢中で何が大切かって　Yeah　もがいてるけど思い出して　あのころ口ずさんだ　夢があるんだくすぶった心に　火をつけるさ　何度だって
"虹のカケラ～no rain, no rainbow～",いくつものカラー　とけ合えばひとつ　この世界中で…僕らは虹のカケラ that's for sureそれぞれの色持ってる that's for sureそっと君が笑えば　ふっと素直になれたそんな些細なことで　きっと世界は回る絵に描いたように　君を彩っていくつものカラー　とけ合えばひとつ　この世界中でそれぞれの愛　分け合えば光る　手の中の未来を僕らの旅は続く that's for sureそれぞれのゴール待ってる that's for sureそっとささやく風が　ふっと心揺らしたそんな思い集めて　きっと世界は変わるどんな場面にも　君がいるように巡り会うたび　僕らは夢見る　出逢えた喜びを雨に濡れても　星空を探す　終わらない世界で涙拭いて笑顔見せて　悲しい時でも smileそうひとりじゃない　気づいてよ smile smile smile!いくつものカラー　とけ合えばひとつ　この世界中でそれぞれの愛　分け合えば光る　手の中の未来を
虹の彼方へ,ふいに浮かんだ感情も噛み砕いては笑顔で隠して　過ごす毎日ほんの些細な痛みと　言えずに秘めた弱さ重ねては何かをためらってるそうさどんな答えも　地図にはないけどその気になって　踏み出せたら　道は開けるさ高く羽ばたいて　果てしない夢だって　あきらめないようにいつか追いかけた　虹の向こう　目指していこうずっとずっと描き続けた世界が　きっとそこにある電話越し　君の言葉同じ温度を感じてしまうから　答えに戸惑ってるそんな僕らにだって　明日は待ってる負けたっていいさ　何回だって　立ち上がれるから高く羽ばたくよ　誰だって　そうやって　誇り持てるようにだから僕らの手　今を照らす光になろうずっとずっと抱き続けた想いは　まだここにある僕は歩いてくただ淡々とdom di gi dom di gi di gi dom domいまが散々でも虎視眈々何万もの涙(しずく)　虹へjump upそうさどんな答えも　地図にはないけどその気になって　踏み出せたら　道は開けるさ高く羽ばたいて　果てしない夢だって　あきらめないようにいつか追いかけた　虹の向こう　目指していこうずっとずっと描き続けた世界が　きっとそこにある
日本よいとこ摩訶不思議,むかしなつかし　わらべ歌コマにゴム飛び　かくれんぼもういいかい　まだだよもういいかい　まだだようれし楽しや Play on the Gameメンコままどと　おちゃらかホイホイせっせっせの　よいよいせっせっせの　よいよい日本良いとこ一度おいで　サクラさいたらうかれだすのめやうたえや　日もくれて　まつりさわぎで　ワッショイショイ！昔、昔、あるところ、じいちゃん、ばあちゃん、和気あいあいじいさん山へ芝刈りに、ばあさん川へ洗濯へ大きな桃かと思ったら、小さな小さな一寸法師浦島太郎に金太郎、桃から生まれた桃太郎竹から出てくりゃかぐや姫、桃栗三年柿八年なにをおっしゃる猿かに合戦、すったもんだの昔の話ブンブクチャガマが……摩訶不思議　摩訶不思議　摩訶不思議 oh yeah！うれし楽しや　これほしい摩訶不思議　摩訶不思議　摩訶不思議 oh oh oh oh yeah！だるまさんが　ころんだ(だるまさんがおきない！！)
negai,くちびるに落ちた言葉を拭(ぬぐ)おうと伸ばした　この手は行き場ない　思いを静かに　包んでいく夢はいつか　無くすものだと　言ったのは誰?僕は　それを笑い飛ばして　明日を選んでいく願い　ひとつ　星じゃなくて　あなたへそっと祈るだって　それはあなただけに起こせる　奇跡だから何度だって　今　僕らのすべてで　そっと祈るそう　君へ届け　遠くの空願いで　繋がっていくように新しい朝を知るたび大切なものを　無くしてるその度に　明日の愛おしさを　感じられる空に浮かぶ　星や月を　知ったのはいつ?僕は　生きて尽きることない　永遠を繋いでいる願い　ひとつ　星じゃなくて　あなたへそっと祈るだって　君の笑顔だけが起こせる　奇跡だから何度だって　今　僕らのすべてで　そっと祈るそう　君へ届け　いつまででも願いが　響き合いますように夜空を見上げてる　君も　僕も同じ　思いが　叶えられる日まで願い　ひとつ　星じゃなくて　あなたへそっと祈るだって それはあなただけに起こせる　奇跡だから何度だって　今　僕らのすべてで　そっと祈るそう　君へ届け　遠くの空願いで　繋がっていくように
眠らないカラダ,気が付けば　うつむきながら　歩いてる日常やり場のない気持ちの扉　固く閉ざされて実態のない自分が　人ゴミに紛れ込んでるああなれば　こうなる　理屈だけ頭めぐらしてボーっと突っ立ったままで　独り言つぶやく　眠れない夜でも　なんで?なんで?音もなく時が過ぎるのかBreak　Down　重さに耐えかね　喘ぐ俺を無表情で冷酷なナイフが　脅し続ける歪んだ精神状態のBody　七色に輝けうごめくカオスの中で　咲き誇る花のように叫ぶよ!虚しき日々が　記憶の彼方に消え去る震えて握り締めてる　右手だけを　明日の道しるべにして眠らないカラダもてあまして眠らないこの街の中で見果てぬ夢　求め続けて夜空に浮かぶ月　見上げ　こぼれ落ちたその涙は　まだ乾くことなく　ココロ濡らして歪んだ精神状態のBody　七色に輝けうごめくカオスの中で　咲き誇る花のように叫ぶよ!虚しき日々が　記憶の彼方に消え去る震えて握り締めてる　右手だけを　明日の道しるべにして
How Can I Love,手を伸ばしてみても 遠い空の下僕らはどこまでゆけるのだろう?風に吹かれながら 揺れる花も強さと儚さを抱えて咲いている悲しみに震え立ち止まるよりここにいること 刻んで僕ら 歩いていくこの声は消えない この手は離さないいつまでも どこにいても 勇気を信じて同じ景色を見て 同じ夢を見たい守り抜く 今がある 僕らを呼んでいる空を赤く染めて 沈む太陽に決して背を向けることはないから暗闇の中にも 光は射すまぶたを閉じれば確かに感じられるこの夜はいつか明けてゆくだろう負けない心 何度も僕ら 立ち上がれるとめどない思いが 止まらない鼓動がいつまでも どんなときも 明日に続いてかすかな光でも 僕らは信じたいその先に 未来がある 君と見たいからこの声は消えない この手は離さないいつまでも どこにいても 勇気を信じて同じ景色を見て 同じ夢を見たい守り抜く 今がある 僕らを呼んでいる
How to fly,辿り着く桃源郷　見てるだけ望遠鏡探すふりして逃げてきたこのままでどうやって？　どこまでもそうやって？大切な事はすぐそばに見つけた小さな花に大きな強さを　忘れたはずの過去に今取り戻せ誰一人独りじゃ無い　道がとぎれてもただ高く飛べればいい　共に飛べればいい　僕らは忘れた訳じゃない思い出す　How to fly目の前の困難を　乗り越える？ 簡単さちょっとだけ目を伏せてればいいこのままでどうやって？　どこまでもそうやって？大切なモノ隠したまま失した「たからもの」を胸に刻めば　振り返るだけの過去が今駆けだした誰一人独りじゃ無い　壁がさえぎっても今が解き放つ時間(とき)　明日を描けるさ　必ず幼き胸は知ってたはずさ今度君に会う日は　きっともっとso strong　強くありたい誰一人独りじゃ無い　道がとぎれても誰一人独りじゃ無い　壁がさえぎってもただ高く飛べればいい　共に飛べればいい　僕らは幼き胸に一度は Learn to fly忘れた訳じゃない思い出す How to fly
ハダシの未来,ずっと忘れてた　臆病な毎日に閉まったままの情熱で　崩れかけてた夢歪みそうだったこの世界が　ちぎれてく曖昧に一秒ごとの瞬間を　笑いあえるんならいいどんな辛い時でも　駆け抜けてきた日々を一人じゃないと思えたらリクツじゃなくて　ムチュウになってこんなキモチ嘘じゃない疲れたままのココロ潤して走ろう弾けるパッション！　そうさNo Reason!届きそうな明日へ未来のカケラを集めて行けばいい相当　乾いてるココロの片隅で泣き出しそうな感情を　誤魔化す必要ない絶え間なく打ち寄せる波間に　迷いまでリンクしてくすんだ瞳の影を　洗い流していきゃいいいつも振り返る時　支えてくれる誰かを信じる事が出来るからコトバじゃなくて　ウワべじゃなくて飾らないでいるからはしゃいだ胸の憧れは　ずっと同じさ高鳴るテンション！　きっとNo Reason!届きそうな明日へハダシの未来へこのまま行けばいいリクツじゃなくて　ムチュウになってこんなキモチ嘘じゃない疲れたままのココロ潤して走ろう弾けるパッション！　そうさNo Reason!届きそうな明日へ未来のカケラを集めて行けばいいコトバじゃなくて　ウワべじゃなくて飾らないでいるからはしゃいだ胸の憧れは　ずっと同じさ高鳴るテンション！　きっとNo Reason!届きそうな明日へハダシの未来へこのまま行けばいい
Happiness,Yeah yeah yeah…向かい風の中で　嘆いてるよりも上手く行く事を想像すれば　いつの日か変わる時がくる夢中で生きてたら　何気ないことで愛が傷ついて　ためらいながら　何度も立ち上がるよ思い出の後先を　考えたら　寂しすぎるね騒がしい未来が向こうで　きっと待ってるから走り出せ　走り出せ　明日を迎えに行こう君だけの音を聞かせてよ　全部感じてるよ止めないで　止めないで　今を動かす気持ちどんなに小さなつぼみでも　一つだけのHappiness涙の気持ちさえ　言葉に出来ない幸せの虹は　何色なんて　気にしなくていいから答えを見つけようと　思い出また積み重ねてるここから新しい場所へ　何も恐れないで遠くまで　遠くまで　どこまでも続く道君だけの声を聞かせてよ　ずっとそばにいるよ止めないで　止めないで　ずっと信じる気持ち今は名もないつぼみだけど　一つだけのHappiness走り出せ　走り出せ　明日を迎えに行こう君だけの音を聞かせてよ　全部感じてるよ止めないで　止めないで　今を動かす気持ちどんなに小さなつぼみでも　一つだけのHappinessYeah yeah yeah…
果てない空,泥まみれの毎日だけど　いまさら悩んだりはしない呆れるほど不器用だけど　心に誓った夢がある届かない星が瞬いて　触れるように　そっと問い掛けたよみがえる希望でこの胸が　満たされるから　追い掛けるだけ果てない空がそこにあるって　いま確かな声が聞こえる飛べない自分を変えていこうか　踏み出して何度でもやり直そう　力強く積み重ねた言い訳より　ありのままを信じてみよう嘘だらけの幸せより　素顔のまま微笑んでいようまた一つ星が流れたら　手を伸ばして　そう掴めるように真っ白な未来がどこまでも　続いてるから　確かめるだけ見えないものは何もないって　その確かな歌が聞こえる消えない思いがここにあるんだ　いつだってもう一度立ち上がろう　力強く涙の跡が乾いたら　また呼び掛けるから　答えてよ　まだ見ぬ明日へ一人じゃないと気付いたんだ　輝くあの扉　共に目指そう果てない空がそこにあるって　いま確かな声が聞こえる飛べない自分を変えていこうか　踏み出して何度でもやり直そう…見えないものは何もないって　その確かな歌が聞こえる消えない思いがここにあるんだ　いつだってもう一度立ち上がろう　力強く
花,ゆらり花びらが揺れる　どんな夢を見てただろう遠き明日を眺めてた　共に歩いた　帰り道には優しい香りがしていた　風が小さな頬を撫でるふつうの毎日に　寄り添い過ごしていた　孤独さえ知らずに今　この道の先に　変わることのない　僕らの奇跡は続いてただ　巡り会えたような　気がした季節に　同じ夢を見たから言葉じゃ上手く言えない　見上げた空に流れ星ひらり花びらがおちて　道端はオレンジ色胸の深いところには　あの日の記憶　光り続ける大事な思い出ばかりが　澄んだ青空に映るから気付かない振りした　小さな毎日も　確かにここにあるまだ　描いた夢には　追いつかなくても　僕らは一つ道選んでただ　長く伸びてゆく　影を見ていたら　きっと負けない気がした失くしてしまわないように　心に刻んだ香りそっと　笑顔が咲くような　心が触れ合う　このまままだ　この道の先へ　変わることのない　僕らの奇跡は続いてただ　長く伸びてゆく　影を見ていたら　きっと負けない気がした失くしてしまわないように　心に刻んだ香り
はなさない！,"離さない離さない君だけをみつめているよいつまでも限りない　限りないチャンスへと立ち向かっていこうWe can! We can! We can! love so, yeah, yeah,We can! We can! Shake it. love you baby,We can! We can! We can! love so, yeah, yeah,強い風に吹かれてAh- ほこりまみれの胸イタイチギレて叫んで投げ出しそな日もあるけど飾らない友情感じて笑顔戻るよDon't let me go! Get my dream!ここまで来れたのは君が居てくれる勇気大丈夫…離さない離さない僕たちはひとりじゃないよいつだって失くさない　失くさない大切さ夢見る気持ちWe can! We can! We can! love so, yeah, yeah,We can! We can! Shake it. love you baby,今までより上等な明日高級なシュンカンが欲しくなる大事な事だねだから前に進めるんだカタチのない未来へと渡る虹の架け橋Don't let me go! Get your dream!創ろう僕たちはまだ真っ白なキャンバスどんな日も…離さない離さないツライならぶつけていいよ永遠は止まらない　止まらない情熱はホンモノだから僕たちにしか出来ないデカイことしようAh- このまま走っていこうよ雨でびしょ濡れのシャツいつか乾くさ大丈夫…離さない離さない僕たちはひとりじゃないよいつだって失くさない　失くさない大切さ夢見る気持ち離さない離さない君だけをみつめているよいつまでも限りない　限りないチャンスへと立ち向かっていこうWe can! We can! We can! love so, yeah, yeah,We can! We can! Shake it. love you baby,We can! We can! We can! love so, yeah, yeah,離さない離さない僕たちはひとりじゃないよいつだって失くさない　失くさない大切さ夢見る気持ち離さない離さない君だけをみつめているよいつまでも限りない　限りないチャンスへと立ち向かっていこうWe can! We can! We can! love so, yeah, yeah,We can! We can! Shake it. love you baby,We can! We can! We can! love so, yeah, yeah,離さない離さない僕たちはひとりじゃないよいつだって失くさない　失くさない離さない離さない"
花火,けだるい週末の　雑踏のせいにして海沿いの道に逸れたのは　君と手を繋ぎたくて水面を揺らした　少し遠い花火が僕をDramaticな主役に　勘違いしそうになる君の過去も　ましてや好きな映画も音楽も何も知らない　今教えて簡単な感情で言ってるんじゃないのに陽焼けたセリフが邪魔する一生一世　重大な季節に　目がくらみそうだ(Kiss! Kiss! Keep on lovin'I keep on lovin' sweet little my babe)サヨナラ選んだ　去年の暑い日もう決して誰も愛せない　そう思っていたけれどつつがなく容赦なく　僕をまた悩ます突如現れた恋心　思い出にはしたくない見た目よりも　本当は深刻なこの想い君は知らない　もう気付いて簡単な感情で言ってるんじゃないのにはだけた素肌が邪魔する一秒一瞬　重大な Time code　目がまわりそうだ打ち上げられた　君と僕とのStory花開くようにGet-up-and-go!覚めない夢もあるさ　僕が証明するよ簡単な感情で言ってるんじゃないのに陽焼けたセリフが邪魔する一生一世　重大な季節に　目がくらみそうだLet me love Let me love花火のように　ココロ急上昇でDancin' in the skyLet me know Let me know出逢う前の分を挽回したいよもう戻れないよ　永遠になろう(Kiss! Kiss! Keep on lovin'I keep on lovin' sweet little my babe)
春風スニーカー,春の風に誘われるようにフラリと外に出たよ特別大事な用がある訳じゃない気がついたら日差し浴びながら微笑んでいた僕はそれだけなのに何故か少し幸せだった自転車のペダル踏めば流れ出す街並みや柔らかな風は僕を迎えてくれるWe're just goin' on立派に胸張って言える事が全てじゃない　心で感じればいいドコイク？　ナニスル？　気分に任せてみよう　笑っていれたらI'll see the light暖まる空気に包まれ頭を空っぽにして時を忘れて腰を下ろしてみるいつも見てたはずの街路樹もいろんな顔してる何気なく通り過ぎてたから気づかなかった新しいスニーカーで大地を踏みしめて変わってく季節の中歩いていくんだWe're just goin' on純粋に揺れ動く胸に素直に応えよう　誰にも責められないよドコイク？　ナニスル？　どこへだって行けるだろう？　君と一緒ならI'll see the light小さくなってた僕の気持ち何も見えてなかったよそんな時は空見上げ笑ってみよう心に光が…差し込むよ立派に胸張って言える事が全てじゃない　心で感じればいいドコイク？　ナニスル？　気分に任せてみよう　笑っていれたらUh-Yeah純粋に揺れ動く胸に素直に応えよう　誰にも責められないよドコイク？　ナニスル？　どこへだって行けるだろう？　君と一緒ならI'll see the light
Bounce Beat,"Bounce up and down...一瞬で落ちたブラックホール　素っ気ないその“Free & Easy”Floor高級な車も花束も　必要のない　Wonder night　Yeah手慣れたようなミュージック　Yeah, baby　軽く振り払って踊ろうどうでもいいようなフリして　饒舌なStepを刻んでその真っ赤な唇に　フライング気味のBeat誰のせいかな？　Oh, lady　Come onこのままBump Bump　痺れるLove chase夜はこれからでしょ　Feeling your heart熱くUp and down　すべてがSparkingずっと君と…　Bounce up and down...ここに来たのはLucky　出逢う予感したOh, you're a spicy girl強めのアルコ－ルも嘘も　完全スルーな　Perfect mind　Yeah曖昧なその仕草を　じれったいと感じてもね、気のせいかな？　Oh, baby　Come on高鳴るBounce Bounce　期待のWeekendふたりこれからでしょ　Follow me, tonightかなりHigh standard　絶妙のRhythmもっと君と…　Stay up all night...Oh, baby　Down Down Down　近づくDistanceStay up all night...Bounce up and down...Stay up all nightこのままBump Bump　痺れるLove chase夜はこれからでしよ　Feeling your heart熱くUp and down　すべてがSparkingずっと君と…　Bounce up and down...Oh, baby　Down Down Down　近づくDistanceStay up all night..."
Bang Bang,甘い吐息に　誘われて　目覚める本能　今夜も火照ったカラダに　感じてきたならPlay the gameひとたび　振り向けば　そこはラビリンス謎めく　正体は　不意に手を出せばNever stop紅いルージュに　魅せられて　フラつく脳内　逃避行I can't stop 危険な　スパイラル溶け出すMystery夢に堕ちてゆこう　目を閉じて　運命は　二人で決めればいい秘密を分け合ってBang Bang　脱ぎ捨てろ Bang Bang Bang Bang　身も心もBang Bang　教えてよ Bang Bang Bang Bang　君のことを確かめたい　もう逃げないで　そのままでBang Bang　近づくよ Bang Bang Bang Bang　触れ合うほどBang Bang　熱くなろう Bang Bang Bang Bang　二人だけの夜を踊ろう　時間よ止まれ痛いほどに　抱きしめて　こぼれる衝動　どうしよう？潤んだ瞳も　焦らしてくるならNo controlひと口　齧れば　そこはパラダイス魅惑の　果実さ　知ったならもうPrisonerこのままじゃ　戻れない　不埒な妄想　包囲せよWe don't stop　歪んだ　世界で　溶け合う Destinyめくるめく夜に　酔いしれて　押し寄せる　温もり溺れたい唇に潜んだBang Bang…Bang Bang　求め合おう Bang Bang Bang Bang　深く深くBang Bang　奥へゆこう Bang Bang Bang Bang　ひとつになろうそのモーションを　もう止めないで　やめないでBang Bang　君なしじゃ Bang Bang Bang Bang　おかしくなるBang Bang　溢れ出す Bang Bang Bang Bang　待ち切れない夜に放とう　時間を越えてBang Bang…Bang Bang　脱ぎ捨てろ Bang Bang Bang Bang　身も心もBang Bang　教えてよ Bang Bang Bang Bang　君のことを確かめたい　もう逃げないで　そのままでBang Bang　近づくよ Bang Bang Bang Bang　触れ合うほどBang Bang　熱くなろう Bang Bang Bang Bang　二人だけの夜を踊ろう　時間よ止まれ
P・A・R・A・D・O・X,"真夜中　泡立つ血が騒いでるI can't stop this　上向く三日月誰も知らないの　Somebody tell me about it教えてやるよ　惹かれてる Your perfume思うままに!そう激しく!Can't you feel me?Going crazy!This gravity　互いにFeel goodキツめのTiming　全て見たいんだ夢ならば　じらし過ぎ　I know you lied強引だね　腰つきで引きよせる鼓動が Acceleration　たまらない AttractionExcited condition　もう我慢出来ない感じるままに!もっと熱く!Can't you feel me?Going crazy!止められない　Oh, you take me higherからまり　Shake you Let's fly into the night!P・A・R・A・D・O・X　I'm gonna make you stop it babyP・A・R・A・D・O・X　I'm gonna make you stop itP・A・R・A・D・O・X　I'm gonna make you keep on babyP・A・R・A・D・O・X窓枠に伸びる影から裸の彼方時を刻む月灯りと数多の朝が未だにまだまとわりつく貴方の最中(さなか)露わな儚き頭と身体の狭間Oh yeah! Can you make me fly high?思うままに!そう激しく!Can't you feel me?Going crazy!This gravity　互いにFeel goodキツめのTiming　全て見たいんだP・A・R・A・D・O・X　I'm gonna make you stop it babyP・A・R・A・D・O・X　I'm gonna make you stop itP・A・R・A・D・O・X　I'm gonna make you keep on babyP・A・R・A・D・O・X"
パレット,"I'll go anywhere I'll do anything I'll be there cause,You are the part of my lifeI'll go anywhere I'll do anything I'll be there for youあたりまえになった僕の隣　右側にならんでまるで二度と会えない別れみたいに　言うのは君のほう「ずっと忘れないように似顔絵描いてよ」と最初ふざけてたけれど　もう泪があふれてそのまま動けないBABY　かわいていくパレットを大事そうにたたみながらふたり過ごした時を　とじこめるのがつらい　まだ止まらない泪つよがりの普段が嘘みたいな　はじめての君で左の横顔はいろんなふうに　見つめてきたのに泣かないと決めてたから　僕なりの笑顔ムリに真似しかけたせいで　なにかが崩れてひどく泣きだすよBABY　折りたたんだパレットをもう一度君が開いて白いところに書いた　「いつまでも好きだよ」ってそんな気持ちの精一杯　分かりきった愛きっと色褪せずに　ふたりとじたパレットの中I don't wanna care the left time.But we don't have the time, u know?So, I say...頬を伝った雫の中に仕舞いきれない　想いの残骸月の光が　唯一の灯り無理だったね　笑顔でバイバイI'll go anywhere I'll do anything I feel the echo,You are the part of my lifeI'll go anywhere I'll do anythingYou are the only one can light up my lifeI'll go anywhere I'll do anything I feel the echo,You are the part of my lifeI'll go anywhere I'll do anythingYou are the only one can light up my life baby(つよがりの横顔も　止まらない泣き顔もいろんな色をならべて　すべてその中に...)かわいてくパレットを　大事そうに たたみながらふたり過ごした時を　とじこめるのがつらい"
Power of the Paradise,You've got the power now強がりや理想だけじゃ　届かなくって(一歩ずつ刻んだ)眩しいくらい　輝きたたえた世界今なら分かる優しさに　導かれて(背中押されてた)目の前にそびえ立つ　壁もいつしか越えていた数えきれないほど流した　(涙や)諦めだってそのすべてを　くぐり抜けて　今ここで息をしているYou've got the power nowFly Fly Fly　もう　この瞬間誰より高く　羽ばたくため何度 Try Try Try　そう重ねてたったひとつの答えを　この手に yeah(太陽のように)その生命(いのち)燃やして(今はただ)大地踏みしめてCry Cry Cry　顔を上げてOh　力強く　掴み取れよ On your way近づけば近づくほど　果てないけれど(戻れない One way road)簡単なゴールなら　きっと要らない　そうだろう？(It's your life)迷わない人などいないよ　(We can do it)どこへ立っても終わりはない　だから今日も　ここで挑み続けるだけYou've got the power nowFly Fly Fly　その手　伸ばしていつかの夢に　追いつくようにそう Try Try Try　忘れないで明日へ進む力に　変えるんだ yeah(限界なんて)壊してゆけばいい(遥か遠い)誓った場所まで暗い暗い暗い　夜を抜けOh　胸に抱いた　想い届けるためEverything's alright孤独の中　信じたのは　重ねてきた日々の記憶うるさいほどの静寂は　誰も入り込めはしないよYou've got the power nowFly Fly Fly　もう　この瞬間誰より高く　羽ばたくため何度 Try Try Try　そう重ねてたったひとつの答えを　この手に yeah(太陽のように)その生命(いのち)燃やして(今はただ)大地踏みしめてCry Cry Cry　顔を上げてOh　力強く　掴み取れよ On your way
Perfect Night,Baby…All for you沈む陽に染まる風景は忘れられていた　星空を知ったささやかな愛が零れないように揺れる波の音　そっと抱きしめた飲み干した　グラスの温度昨日までが全部繋がって彩り変えたTonight柔らかな影　頬撫でる風遠い日の言葉が胸の中で聴こえた約束したね　明日へLet me take you downまだ　まだ　目覚めないでそう 　薄明かりだけの世界　漂ってか細い月を浮かべたPerfect night完璧な笑顔描いた少し曇っている　フレームの中で移ろう日々を洗い流してゆく優しい雨粒　包み込むようにいつまでも　そのままでいてこの夜が響き合うSilence漕ぎ出す小さなBoat見つけた意味を　信じた声を誰もが奏でる終わりのない旋律いつか見た夢　You will never be alone何時でも　そばにいるよそう　動き始めるその前の　世界で生まれたばかりの希望抱きしめまるで永遠に　思えた夜もまた朝陽が昇って　消えてくよ何も恐れないで　記憶は此処でいつまでも　息をしてるさ柔らかな影　頬撫でる風遠い日の言葉が胸の中で聴こえた約束したね　明日へLet me take you downまだ　まだ　目覚めないでそう　薄明かりだけの世界　漂ってか細い月を浮かべたPerfect night動き始めるその前の　世界で生まれたばかりの希望抱きしめYou and I… A perfect night
